ticker,quarter,gdrive_filename
1216,2025Q1,1216_20250605M001_2025Q1_concall_presentation.pdf
1216,2025Q2,1216_20250808M001_2025Q2_concall_presentation.pdf
1216,2025Q3,1216_20251127M001_2025Q3_concall_presentation.pdf
1216,2025Q4,1216_20260312M001_2025Q4_concall_presentation.pdf
1216,2026Q1,1216_20260604M001_2026Q1_concall_presentation.pdf
2303,2025Q1,2303_20250423M001_2025Q1_concall_presentation.pdf
2303,2025Q2,2303_20250730M001_2025Q2_concall_presentation.pdf
2303,2025Q3,2303_20251029M001_2025Q3_concall_presentation.pdf
2303,2025Q4,2303_20260128M001_2025Q4_concall_presentation.pdf
2303,2026Q1,2303_20260429M001_2026Q1_concall_presentation.pdf
2308,2025Q1,2308_20250430M001_2025Q1_concall_presentation.pdf
2308,2025Q2,2308_20250731M001_2025Q2_concall_presentation.pdf
2308,2025Q3,2308_20251030M002_2025Q3_concall_presentation.pdf
2308,2025Q4,2308_20260226M001_2025Q4_concall_presentation.pdf
2308,2026Q1,2308_20260430M001_2026Q1_concall_presentation.pdf
2317,2025Q1,2317_20250514_M002_2025Q1_concall_presentation.pdf
2317,2025Q2,2317_20250814_M001_2025Q2_concall_presentation.pdf
2317,2025Q3,2317_20251112_M001_2025Q3_concall_presentation.pdf
2317,2025Q4,2317_20260316_M001_2025Q4_concall_presentation.pdf
2317,2026Q1,2317_20260514_M002_2026Q1_concall_presentation.pdf
2330,2025Q1,2330_20250417M001_2025Q1_concall_presentation.pdf
2330,2025Q2,2330_20250721M001_2025Q2_concall_presentation.pdf
2330,2025Q3,2330_20251016M001_2025Q3_concall_presentation.pdf
2330,2025Q4,2330_20260115M001_2025Q4_concall_presentation.pdf
2330,2026Q1,2330_20260416M001_2026Q1_concall_presentation.pdf
2357,2025Q1,2357_20250513M001_2025Q1_concall_presentation.pdf
2357,2025Q2,2357_20250813M001_2025Q2_concall_presentation.pdf
2357,2025Q3,2357_20251111M001_2025Q3_concall_presentation.pdf
2357,2025Q4,2357_20260310M001_2025Q4_concall_presentation.pdf
2357,2026Q1,2357_20260512M001_2026Q1_concall_presentation.pdf
2382,2025Q1,2382_20250514M001_2025Q1_concall_presentation.pdf
2382,2025Q2,2382_20250812M001_2025Q2_concall_presentation.pdf
2382,2025Q3,2382_20251203M001_2025Q3_concall_presentation.pdf
2382,2025Q4,2382_20260302M001_2025Q4_concall_presentation.pdf
2382,2026Q1,2382_20260514M001_2026Q1_concall_presentation.pdf
2412,2025Q1,2412_20250508M001_2025Q1_concall_presentation.pdf
2412,2025Q2,2412_20250805M001_2025Q2_concall_presentation.pdf
2412,2025Q3,2412_20251106M001_2025Q3_concall_presentation.pdf
2412,2025Q4,2412_20260203M003_2025Q4_concall_presentation.pdf
2412,2026Q1,2412_20260507M001_2026Q1_concall_presentation.pdf
2454,2025Q1,2454_20250430M001_2025Q1_concall_presentation.pdf
2454,2025Q2,2454_20250730M001_2025Q2_concall_presentation.pdf
2454,2025Q3,2454_20251031M001_2025Q3_concall_presentation.pdf
2454,2025Q4,2454_20260204M001_2025Q4_concall_presentation.pdf
2454,2026Q1,2454_20260430M001_2026Q1_concall_presentation.pdf
2881,2025Q1,2881_20250605M001_2025Q1_concall_presentation.pdf
2881,2025Q2,2881_20250825M001_2025Q2_concall_presentation.pdf
2881,2025Q3,2881_20251124M001_2025Q3_concall_presentation.pdf
2881,2025Q4,2881_20260316M001_2025Q4_concall_presentation.pdf
2881,2026Q1,2881_20260525M001_2026Q1_concall_presentation.pdf
2882,2025Q1,2882_20250523M001_2025Q1_concall_presentation.pdf
2882,2025Q2,2882_20250822M001_2025Q2_concall_presentation.pdf
2882,2025Q3,2882_20251128M001_2025Q3_concall_presentation.pdf
2882,2025Q4,2882_20260327M001_2025Q4_concall_presentation.pdf
2882,2026Q1,2882_20260529M001_2026Q1_concall_presentation.pdf
2884,2025Q1,2884_20250508M001_2025Q1_concall_presentation.pdf
2884,2025Q2,2884_20250811M001_2025Q2_concall_presentation.pdf
2884,2025Q3,2884_20251110M002_2025Q3_concall_presentation.pdf
2884,2025Q4,2884_20260224M001_2025Q4_concall_presentation.pdf
2884,2026Q1,2884_20260506M001_2026Q1_concall_presentation.pdf
2886,2025Q1,2886_20250529M002_2025Q1_concall_presentation.pdf
2886,2025Q2,2886_20250829M002_2025Q2_concall_presentation.pdf
2886,2025Q3,2886_20251125M001_2025Q3_concall_presentation.pdf
2886,2025Q4,2886_20260312M001_2025Q4_concall_presentation.pdf
2886,2026Q1,2886_20260527M001_2026Q1_concall_presentation.pdf
2891,2025Q1,2891_20250516M001_2025Q1_concall_presentation.pdf
2891,2025Q2,2891_20250912M001_2025Q2_concall_presentation.pdf
2891,2025Q3,2891_20251117M001_2025Q3_concall_presentation.pdf
2891,2025Q4,2891_20260312M001_2025Q4_concall_presentation.pdf
2891,2026Q1,2891_20260519M002_2026Q1_concall_presentation.pdf
2892,2025Q1,2892_20250604M001_2025Q1_concall_presentation.pdf
2892,2025Q2,2892_20250902M001_2025Q2_concall_presentation.pdf
2892,2025Q3,2892_20251203M001_2025Q3_concall_presentation.pdf
2892,2025Q4,2892_20260304M001_2025Q4_concall_presentation.pdf
2892,2026Q1,2892_20260602M001_2026Q1_concall_presentation.pdf
3034,2025Q1,3034_20250507_M001_2025Q1_concall_presentation.pdf
3034,2025Q2,3034_20250806_M001_2025Q2_concall_presentation.pdf
3034,2025Q3,3034_20251106_M001_2025Q3_concall_presentation.pdf
3034,2025Q4,3034_20260206_M001_2025Q4_concall_presentation.pdf
3034,2026Q1,3034_20260507_M001_2026Q1_concall_presentation.pdf
3037,2025Q1,3037_20250515M001_2025Q1_concall_presentation.pdf
3037,2025Q2,3037_20250730M001_2025Q2_concall_presentation.pdf
3037,2025Q3,3037_20251110M001_2025Q3_concall_presentation.pdf
3037,2025Q4,3037_20260225M001_2025Q4_concall_presentation.pdf
3037,2026Q1,3037_20260529M001_2026Q1_concall_presentation.pdf
3231,2025Q1,3231_20250516M001_2025Q1_concall_presentation.pdf
3231,2025Q2,3231_20250901M001_2025Q2_concall_presentation.pdf
3231,2025Q3,3231_20251111M005_2025Q3_concall_presentation.pdf
3231,2025Q4,3231_20260312M001_2025Q4_concall_presentation.pdf
3231,2026Q1,3231_20260525M004_2026Q1_concall_presentation.pdf
3711,2025Q1,3711_20250430M001_2025Q1_concall_presentation.pdf
3711,2025Q2,3711_20250731M001_2025Q2_concall_presentation.pdf
3711,2025Q3,3711_20251030M001_2025Q3_concall_presentation.pdf
3711,2025Q4,3711_20260205M001_2025Q4_concall_presentation.pdf
3711,2026Q1,3711_20260429M001_2026Q1_concall_presentation.pdf
6505,2022Q4,6505_20230310M01_2022Q4_concall_presentation.pdf
6505,2023Q1,6505_20230615M01_2023Q1_concall_presentation.pdf
6505,2023Q2,6505_20230912M01_2023Q2_concall_presentation.pdf
6505,2023Q3,6505_20231106M01_2023Q3_concall_presentation.pdf
6505,2023Q4,6505_20240319M01_2023Q4_concall_presentation.pdf
6505,2024Q1,6505_20240508M01_2024Q1_concall_presentation.pdf
6505,2024Q2,6505_20240923M01_2024Q2_concall_presentation.pdf
6505,2024Q3,6505_20241128M01_2024Q3_concall_presentation.pdf
6505,2024Q4,6505_20250307M01_2024Q4_concall_presentation.pdf
6505,2025Q1,6505_20250626M01_2025Q1_concall_presentation.pdf
6505,2025Q2,6505_20250819M01_2025Q2_concall_presentation.pdf
6505,2025Q3,6505_20251015M01_2025Q3_concall_presentation.pdf
6505,2025Q4,6505_20260311M01_2025Q4_concall_presentation.pdf
6505,2026Q1,6505_20260602M01_2026Q1_concall_presentation.pdf
6669,2025Q4,6669_20260226M001_2025Q4_concall_presentation.pdf
6669,2026Q1,6669_20260512M001_2026Q1_concall_presentation.pdf
